state_icp,county_icp,res_cty
1,10,1
1,50,1
1,110,1
2,30,1
2,70,1
2,90,1
2,170,1
2,190,1
2,210,1
2,250,1
2,290,1
3,10,1
3,50,1
3,70,1
3,270,1
5,90,1
11,10,1
11,50,1
12,30,1
12,110,1
12,310,1
13,30,1
13,90,1
13,110,1
13,130,1
13,270,1
13,290,1
13,330,1
13,370,1
13,530,1
13,630,1
13,670,1
13,870,1
13,890,1
13,990,1
13,1030,1
13,1090,1
14,1230,1
22,1410,1
23,30,1
23,50,1
23,90,1
23,110,1
23,130,1
23,190,1
23,210,1
23,250,1
23,270,1
23,290,1
23,310,1
23,330,1
23,350,1
23,410,1
23,470,1
23,510,1
23,530,1
23,550,1
23,730,1
23,790,1
23,890,1
23,950,1
23,970,1
23,1010,1
23,1030,1
23,1050,1
23,1090,1
23,1110,1
23,1310,1
23,1530,1
23,1590,1
25,10,1
25,30,1
25,50,1
25,70,1
25,90,1
25,130,1
25,190,1
25,230,1
25,250,1
25,310,1
25,350,1
25,410,1
25,510,1
25,530,1
25,570,1
25,630,1
25,670,1
25,730,1
25,750,1
25,790,1
25,810,1
25,830,1
25,850,1
25,870,1
25,950,1
25,1110,1
25,1130,1
25,1150,1
25,1210,1
25,1230,1
25,1250,1
25,1290,1
25,1410,1
31,1330,1
31,1550,1
31,1710,1
31,1930,1
32,50,1
32,130,1
32,190,1
32,210,1
32,350,1
32,430,1
32,850,1
32,990,1
32,1250,1
32,1910,1
33,10,1
33,50,1
33,70,1
33,170,1
33,210,1
33,230,1
33,290,1
33,310,1
33,350,1
33,370,1
33,490,1
33,550,1
33,570,1
33,610,1
33,650,1
33,710,1
33,770,1
33,870,1
33,890,1
33,950,1
33,970,1
33,1070,1
33,1110,1
33,1130,1
33,1150,1
33,1190,1
33,1250,1
33,1270,1
33,1290,1
33,1350,1
33,1370,1
33,1390,1
33,1550,1
33,1730,1
34,1190,1
34,1450,1
35,150,1
35,210,1
35,310,1
35,390,1
35,430,1
35,450,1
35,510,1
35,1030,1
35,1070,1
35,1090,1
35,1470,1
35,1610,1
35,1730,1
35,1770,1
35,1790,1
36,10,1
36,50,1
36,130,1
36,190,1
36,230,1
36,250,1
36,270,1
36,290,1
36,370,1
36,490,1
36,530,1
36,550,1
36,570,1
36,590,1
36,610,1
36,630,1
36,710,1
36,770,1
36,790,1
36,810,1
36,850,1
36,1010,1
36,1050,1
37,10,1
37,70,1
37,90,1
37,150,1
37,170,1
37,210,1
37,230,1
37,290,1
37,310,1
37,330,1
37,370,1
37,410,1
37,430,1
37,470,1
37,510,1
37,530,1
37,550,1
37,590,1
37,650,1
37,670,1
37,690,1
37,710,1
37,750,1
37,850,1
37,910,1
37,930,1
37,950,1
37,1010,1
37,1030,1
37,1050,1
37,1070,1
37,1090,1
37,1130,1
37,1170,1
37,1190,1
37,1210,1
37,1230,1
37,1290,1
37,1310,1
37,1330,1
37,1370,1
40,360,1
40,830,1
40,870,1
40,1010,1
40,1270,1
41,310,1
41,330,1
41,390,1
41,410,1
41,430,1
41,450,1
41,510,1
41,530,1
41,590,1
41,610,1
41,670,1
41,690,1
41,710,1
41,790,1
41,890,1
41,950,1
41,970,1
41,990,1
41,1010,1
41,1030,1
41,1090,1
41,1290,1
41,1330,1
42,70,1
42,330,1
42,810,1
42,1130,1
42,1270,1
42,1310,1
42,1330,1
42,1430,1
43,110,1
43,210,1
43,250,1
43,330,1
43,430,1
43,510,1
43,550,1
43,570,1
43,590,1
43,630,1
43,1110,1
43,1310,1
44,1310,1
45,30,1
45,70,1
45,90,1
45,110,1
45,430,1
45,570,1
45,590,1
45,690,1
45,790,1
45,850,1
45,1010,1
45,1090,1
45,1150,1
46,70,1
46,150,1
46,590,1
46,670,1
46,690,1
46,790,1
46,990,1
46,1010,1
46,1030,1
46,1230,1
46,1590,1
47,10,1
47,170,1
47,330,1
47,390,1
47,470,1
47,510,1
47,690,1
47,730,1
47,750,1
47,770,1
47,830,1
47,850,1
47,870,1
47,910,1
47,930,1
47,990,1
47,1010,1
47,1250,1
47,1270,1
47,1350,1
47,1450,1
47,1530,1
47,1550,1
47,1630,1
47,1650,1
47,1730,1
47,1850,1
48,30,1
48,110,1
48,150,1
48,330,1
48,510,1
48,690,1
48,750,1
48,910,1
49,370,1
49,750,1
49,770,1
49,870,1
49,970,1
49,1410,1
49,1470,1
49,1810,1
49,1970,1
49,2110,1
49,2290,1
49,2770,1
49,2950,1
49,3230,1
49,3370,1
49,3730,1
49,3870,1
49,4830,1
49,4850,1
49,4870,1
53,10,1
53,50,1
53,90,1
53,110,1
53,130,1
53,150,1
53,170,1
53,190,1
53,210,1
53,230,1
53,270,1
53,290,1
53,310,1
53,330,1
53,350,1
53,370,1
53,390,1
53,410,1
53,430,1
53,450,1
53,470,1
53,490,1
53,510,1
53,530,1
53,550,1
53,570,1
53,610,1
53,630,1
53,650,1
53,670,1
53,690,1
53,710,1
53,730,1
53,750,1
53,770,1
53,790,1
53,810,1
53,830,1
53,850,1
53,870,1
53,890,1
53,910,1
53,930,1
53,950,1
53,970,1
53,990,1
53,1010,1
53,1030,1
53,1050,1
53,1070,1
53,1090,1
53,1110,1
53,1130,1
53,1150,1
53,1170,1
53,1190,1
53,1210,1
53,1230,1
53,1250,1
53,1270,1
53,1290,1
53,1310,1
53,1330,1
53,1350,1
53,1370,1
53,1410,1
53,1430,1
53,1450,1
53,1470,1
53,1490,1
53,1530,1
61,10,1
61,50,1
61,70,1
61,90,1
61,110,1
61,130,1
61,150,1
61,170,1
61,190,1
61,210,1
61,250,1
61,270,1
62,70,1
62,450,1
62,670,1
62,830,1
62,1030,1
63,50,1
63,90,1
63,110,1
63,210,1
63,290,1
63,350,1
63,490,1
63,550,1
63,570,1
63,610,1
63,690,1
63,730,1
63,770,1
64,30,1
64,50,1
64,90,1
64,110,1
64,150,1
64,190,1
64,290,1
64,350,1
64,410,1
64,470,1
64,550,1
64,630,1
64,710,1
64,730,1
64,830,1
64,850,1
64,870,1
64,890,1
64,910,1
64,1030,1
64,1050,1
64,1110,1
65,10,1
65,30,1
65,50,1
65,70,1
65,90,1
65,130,1
65,150,1
65,190,1
65,210,1
65,230,1
65,250,1
65,270,1
65,290,1
65,310,1
65,330,1
66,10,1
66,30,1
66,50,1
66,70,1
66,270,1
66,290,1
66,310,1
66,350,1
66,390,1
66,430,1
66,450,1
66,490,1
66,530,1
66,550,1
66,570,1
66,610,1
67,30,1
67,70,1
67,90,1
67,130,1
67,150,1
67,190,1
67,210,1
67,230,1
67,250,1
67,270,1
67,370,1
67,410,1
67,430,1
67,450,1
67,470,1
67,490,1
67,510,1
67,530,1
68,30,1
68,130,1
68,170,1
68,330,1
68,350,1
71,30,1
71,50,1
71,70,1
71,110,1
71,130,1
71,150,1
71,170,1
71,190,1
71,210,1
71,230,1
71,250,1
71,270,1
71,310,1
71,330,1
71,350,1
71,390,1
71,450,1
71,490,1
71,510,1
71,610,1
71,630,1
71,650,1
71,710,1
71,730,1
71,830,1
71,890,1
71,930,1
71,970,1
71,1030,1
71,1050,1
71,1070,1
71,1090,1
71,1130,1
71,1150,1
72,50,1
72,110,1
72,150,1
72,190,1
72,210,1
72,250,1
72,270,1
72,310,1
72,350,1
72,390,1
72,410,1
72,430,1
72,450,1
72,470,1
72,530,1
72,550,1
72,590,1
72,610,1
72,650,1
72,710,1
73,70,1
73,90,1
73,110,1
73,170,1
73,190,1
73,250,1
73,270,1
73,310,1
73,330,1
73,350,1
73,390,1
73,410,1
73,430,1
73,450,1
73,470,1
73,490,1
73,510,1
73,530,1
73,550,1
73,570,1
73,610,1
73,630,1
73,650,1
73,670,1
73,710,1
73,730,1
73,750,1
73,770,1
81,3000,1
81,3100,1
81,3200,1
81,3300,1
82,10,1
82,30,1
82,70,1
82,90,1
