t,variant,boot,est,se
0,ab,,0.08268454278243077,0.011306726949234182
0,full,,0.08268454278243077,0.011812756282997845
0,bb,,0.08268454278243077,0.012653273470381303
1,ab,,0.08927300457305189,0.011137424166920495
1,full,,0.011673817620147603,0.002428897023017641
1,bb,,0.014042141666183804,0.0025505092580297133
2,ab,,0.09736845156123775,0.015357058867905548
2,full,,0.002108122812368378,5.699517605468798e-4
2,bb,,0.0029321829843422173,9.521632304843387e-4
3,ab,,0.10069314745768534,0.018121916955667734
3,full,,4.166381462387264e-4,1.3535855426958352e-4
3,bb,,6.590193494916963e-4,3.4196673917113996e-4
4,ab,,0.1017049935315357,0.019547669294342596
4,full,,8.470780338524012e-5,3.971673442519242e-5
4,bb,,1.569138409024326e-4,1.4330783717040493e-4
5,ab,,0.10198097018360686,0.020109611672798258
5,full,,1.733748766748547e-5,1.417064153477573e-5
5,bb,,4.018702728444956e-5,4.426470250559775e-5
